RK,PLAYER,POS,AVG SALARY
1,Patrick Mahomes,QB,"$45,000,000"
2,Deshaun Watson,QB,"$39,000,000"
3,Russell Wilson,QB,"$35,000,000"
4,Ben Roethlisberger,QB,"$34,000,000"
5,Jared Goff,QB,"$33,500,000"
5,Aaron Rodgers,QB,"$33,500,000"
7,Kirk Cousins,QB,"$33,000,000"
8,Carson Wentz,QB,"$32,000,000"
9,Dak Prescott,QB,"$31,409,000"
10,Matt Ryan,QB,"$30,000,000"
11,Ryan Tannehill,QB,"$29,500,000"
12,Jimmy Garoppolo,QB,"$27,500,000"
13,DeAndre Hopkins,WR,"$27,250,000"
14,Joe Bosa,DE,"$27,000,000"
14,Matthew Stafford ,QB,"$27,000,000"
16,Myles Garrett,DE,"$25,000,000"
16,Derek Carr,QB,"$25,000,000"
16,Drew Brees,QB,"$25,000,000"
16,Philip Rivers,QB,"$25,000,000"
16,Tom Brady,QB,"$25,000,000"
