,,,,,,PASSING,,RUSH..,,,RECEIVING,,,DEFENSE,,,,
RK,NAME,TEAM,POS,GMS,YDS,TD,INT,YDS,TD,REC,YDS,TD,SCK,INT,FF,FR,FPTS/G,FPTS
1,Drew Brees IR,NO,QB,16,5177,43,19,5,1,0,0,0,0,0,0,0,21.6,345.58
2,Aaron Rodgers,GB,QB,16,4295,39,8,259,2,1,-1,0,0,0,0,0,21.5,343.6
3,Tom Brady,NE,QB,16,4827,34,8,32,4,0,0,0,0,0,0,0,21.3,340.28
4,Cam Newton,CAR,QB,16,3869,19,12,741,8,0,6,0,0,0,0,0,20.2,323.46
5,Robert Griffin III IR,WAS,QB,15,3200,20,5,815,7,0,0,0,0,0,0,0,21.2,317.5
6,Peyton Manning,DEN,QB,16,4659,37,11,6,0,0,0,0,0,0,0,0,19.4,310.96
7,Adrian Peterson,MIN,RB,16,0,0,0,2097,12,40,217,1,0,0,0,0,19.2,307.4
8,Matt Ryan,ATL,QB,16,4719,32,14,141,1,0,0,0,0,0,0,0,19.1,304.86
9,Tony Romo,DAL,QB,16,4903,28,19,49,1,1,-1,0,0,0,0,0,17.4,278.92
10,Andrew Luck,IND,QB,16,4374,23,18,255,5,0,0,0,0,0,0,0,17.3,276.46
11,Russell Wilson,SEA,QB,16,3118,26,10,489,4,0,0,0,0,0,0,0,17.2,275.62
12,Matthew Stafford,DET,QB,16,4967,20,17,126,4,1,3,0,0,0,0,0,17.2,275.58
13,Doug Martin,TB,RB,16,0,0,0,1454,11,49,472,1,0,0,0,0,16.4,262.6
14,Arian Foster,HOU,RB,16,0,0,0,1424,15,40,217,2,0,0,0,0,16.4,262.1
15,Andy Dalton,CIN,QB,16,3669,27,16,120,4,0,0,0,0,0,0,0,15.7,250.76
16,Josh Freeman,TB,QB,16,4065,27,17,139,0,0,0,0,0,0,0,0,15.5,248.5
17,Marshawn Lynch,SEA,RB,16,0,0,0,1590,11,23,196,1,0,0,0,0,15.4,246.6
18,J.J. Watt,HOU,DE,16,0,0,0,0,0,0,0,0,20.5,0,4,2,15.3,244.9
19,Alfred Morris,WAS,RB,16,0,0,0,1613,13,11,77,0,0,0,0,0,15.1,241
20,Joe Flacco,BAL,QB,16,3817,22,10,22,3,0,0,0,0,0,0,0,14.7,234.88
21,Eli Manning,NYG,QB,16,3948,26,15,30,0,0,0,0,0,0,0,0,14.6,232.92
22,Sam Bradford,LAR,QB,16,3702,21,13,127,1,0,0,0,0,0,0,0,14.4,230.78
23,Carson Palmer,LV,QB,15,4018,22,14,36,1,0,0,0,0,0,0,0,15,224.32
24,Ben Roethlisberger P,PIT,QB,13,3265,26,8,92,0,0,0,0,0,0,0,0,17.2,223.8
25,Matt Schaub,HOU,QB,16,4008,22,12,-9,0,1,-6,0,0,0,0,0,13.9,222.82
26,Ray Rice,BAL,RB,16,0,0,0,1143,9,61,478,1,0,0,0,0,13.9,222.1
27,Chicago Bears,CHI,DST,16,0,0,0,0,0,0,0,0,41,24,26,20,13.9,222
28,Calvin Johnson,DET,WR,16,0,0,0,0,0,122,1964,5,0,0,0,0,13.8,220.4
29,Brandon Marshall,CHI,WR,16,0,0,0,-2,0,118,1508,11,0,0,0,0,13.5,216.6
30,Ryan Fitzpatrick,BUF,QB,16,3400,24,16,197,1,0,0,0,0,0,0,0,13.4,213.7
31,CJ Spiller,BUF,RB,16,0,0,0,1244,6,43,459,2,0,0,0,0,13.3,212.3
32,Philip Rivers,LAC,QB,16,3606,26,15,40,0,0,0,0,0,0,0,0,13,208.24
33,Dez Bryant,DAL,WR,16,0,0,0,-5,0,92,1382,12,0,0,0,0,13,207.7
34,Jamaal Charles,KC,RB,16,0,0,0,1509,5,35,236,1,0,0,0,0,12.8,204.5
35,Trent Richardson,CLE,RB,15,0,0,0,950,11,51,367,1,0,0,0,0,13.6,203.7
36,Frank Gore Q,SF,RB,16,0,0,0,1214,9,28,234,1,0,0,0,0,12.7,202.8
37,A.J. Green,CIN,WR,16,0,0,0,38,0,97,1350,11,0,0,0,0,12.7,202.8
38,Stevan Ridley,NE,RB,16,0,0,0,1263,12,6,51,0,0,0,0,0,12.5,199.4
39,Demaryius Thomas,DEN,WR,16,0,0,0,0,0,94,1434,10,0,0,0,0,12.3,197.4
40,Christian Ponder,MIN,QB,16,2935,18,12,253,2,1,-15,0,0,0,0,0,12.1,193.2
41,Von Miller IR,DEN,OLB,16,0,0,0,0,0,0,0,0,18.5,1,6,0,12,192.4
42,Vincent Jackson,TB,WR,16,0,0,0,0,0,72,1384,8,0,0,0,0,11.8,188.4
43,Daryl Washington,ARI,ILB,16,0,0,0,0,0,0,0,0,9,1,2,1,11.6,186.1
44,Jay Cutler,CHI,QB,15,3033,19,14,233,0,0,0,0,0,0,0,0,12.3,184.62
45,Eric Decker,DEN,WR,16,0,0,0,0,0,85,1064,13,0,0,0,0,11.5,184.4
46,Andre Johnson,HOU,WR,16,0,0,0,0,0,112,1598,4,0,0,0,0,11.5,183.8
47,Ryan Tannehill,MIA,QB,16,3294,12,13,211,2,0,0,0,0,0,0,0,11.4,182.86
48,Julio Jones,ATL,WR,16,0,0,0,30,0,79,1198,10,0,0,0,0,11.4,182.8
49,Denver Broncos,DEN,DST,16,0,0,0,0,0,0,0,0,52,16,19,8,11.4,182
50,Seattle Seahawks,SEA,DST,16,0,0,0,0,0,0,0,0,36,18,18,13,11.4,182
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,213.9,,
,,,,,,,,,,,,,,,,212.8,,
,,,,,,,,,,,,,,,,209.9,,
,,,,,,,,,,,,,,,,207.12,,
,,,,,,,,,,,,,,,,206.8,,
,,,,,,,,,,,,,,,,205.08,,
,,,,,,,,,,,,,,,,202.6,,
,,,,,,,,,,,,,,,,199.76,,
,,,,,,,,,,,,,,,,195.6,,
,,,,,,,,,,,,,,,,195,,
,,,,,,,,,,,,,,,,190.04,,
,,,,,,,,,,,,,,,,189.2,,
,,,,,,,,,,,,,,,,189.1,,
,,,,,,,,,,,,,,,,188.8,,
,,,,,,,,,,,,,,,,186.6,,
,,,,,,,,,,,,,,,,185.5,,
,,,,,,,,,,,,,,,,185.3,,
,,,,,,,,,,,,,,,,185,,
,,,,,,,,,,,,,,,,184.56,,
,,,,,,,,,,,,,,,,184,,
,,,,,,,,,,,,,,,,181.8,,
,,,,,,,,,,,,,,,,181,,
,,,,,,,,,,,,,,,,177.6,,
,,,,,,,,,,,,,,,,177.3,,
,,,,,,,,,,,,,,,,176.5,,
,,,,,,,,,,,,,,,,175,,
,,,,,,,,,,,,,,,,174.9,,
,,,,,,,,,,,,,,,,172.1,,
